ID,Nombre,Edad,Ciudad,Genero,Categoria,Compras,ValorCompra,Estado
1,Ana García,58.0,Medellín,Masculino,Básica,4,1200000.0,Activo
2,Carlos Rodríguez,65.0,Medellín,Masculino,Corporativo,1,150000.0,Activo
3,  Laura Martínez  ,31.0,Cali,Masculino,Estándar,12,5500000.0,Inactivo
4,Juan Pérez,32.0,Quibdó,Femenino,Premium,3,3200000.0,Inactivo
5,Mariana López,35.0,Cali,Masculino,premium,2,300000.0,Inactivo
6,Andrés Gómez,24.0,medellin,Femenino,Básica,1,4500000.0,Activo
7,Sofía Torres,42.0,Medellín,Femenino,Básica,10,1200000.0,activo
8,Daniel Ramírez,,Barranquilla,Masculino,Básica,2,1200000.0,Activo
9,Valentina Castro,42.0,Bogotá,M,Básica,3,2500000.0,Inactivo
10,Sebastián Moreno,31.0,Barranquilla,Femenino,Premium,10,750000.0,Activo
11,Camila Herrera,28.0,Quibdó,Femenino,Básica,11,5500000.0,Activo
12,Mateo Sánchez,61.0,MEDELLIN,Masculino,Estándar,1,2500000.0,Inactivo
13,Isabella Rojas,35.0,Medellín,Masculino,Básica,4,4500000.0,Inactivo
14,Nicolás Vargas,59.0,Quibdó,Masculino,PREMIUM,3,1200000.0,Inactivo
15,Gabriela Jiménez,65.0,  Cartagena  ,Femenino,Corporativo,6,1200000.0,Activo
16,David Restrepo,50.0,Quibdó,Masculino,Premium,2,750000.0,Activo
17,Manuela Ortiz,68.0,Barranquilla,F,Premium,7,3200000.0,Inactivo
18,Felipe Cárdenas,51.0,Bogotá,Masculino,Premium,11,5500000.0,Inactivo
19,Sara Medina,67.0,,Femenino,Premium,5,3200000.0,Activo
20,Alejandro Ruiz,47.0,Medellín,Femenino,Estándar,9,300000.0,ACTIVO
21,Natalia Suárez,58.0, Medellin ,Masculino,Estándar,6,750000.0,Activo
22,Santiago Arias,56.0,Bogotá,Femenino,Premium,2,2500000.0,Inactivo
23,Juliana Vélez,33.0,Medellín,Masculino,Estandar,2,4500000.0,Activo
24,Miguel Álvarez,66.0,Cartagena,Masculino,Estándar,11,4500000.0,Activo
25,Paula Muñoz,34.0,Cartagena,Femenino,Estándar,0,1200000.0,Inactivo
26,Jorge Valencia,43.0,Barranquilla,  Femenino  ,Corporativo,9,4500000.0,Activo
27,Daniela Salazar,33.0,Cali,Masculino,Básica,1,7200000.0,Activo
28,Esteban Navarro,55.0,Cali,masculino,Premium,12,150000.0,Activo
29,Lucía Molina,22.0,Medellín,Femenino,Premium,9,1200000.0,Inactivo
30,Tomás Ramírez,60.0,cali,Masculino,Estándar,12,7200000.0,Inactivo
31,Carolina Franco,33.0,Quibdó,Femenino,Estándar,2,300000.0,inactivo
32,Samuel Pineda,40.0,Quibdó,,Corporativo,12,150000.0,Activo
33,Elena Quintero,21.0,Quibdó,Femenino,Premium,4,1200000.0,Activo
34,Martín Cabrera,52.0,Quibdó,Masculino,estándar,3,1800000.0,Inactivo
35,Victoria Ospina,33.0,Medellín,Femenino,Premium,1,5500000.0,Activo
36,Luis Montoya,23.0,Cali,FEMENINO,Corporativo,8,4500000.0,Activo
37,Andrea Duque,43.0,Medellín,Masculino,Corporativo,1,-250000.0,Inactivo
38,Ricardo Correa,68.0,Quibdó,Femenino,Corporativo,12,5500000.0,Inactivo
39,Mónica Giraldo,27.0,Cali,Femenino,  Estándar  ,1,7200000.0,Activo
40,Cristian Zapata,65.0,Bogotá,Masculino,Premium,10,4500000.0,Activo
41,Laura Bedoya,15.0,Cartagena,Masculino,Estándar,2,7200000.0,Activo
42,Óscar Marín,61.0,CALI,Femenino,Premium,10,1200000.0,Activo
43,Diana Restrepo,57.0,Medellín,Femenino,Básica,5,1200000.0,Inactivo
44,Julián Mejía,33.0,Bogotá,Femenino,Estándar,11,1800000.0,Inactivo
45,Adriana Pérez,38.0,Medellín,Hombre,Corporativo,10,7200000.0,Activo
46,Kevin López,22.0,Cartagena,Masculino,Básica,3,2500000.0,Activo
47,Tatiana Gómez,33.0,Bogotá,Femenino,Estándar,8,5500000.0,INACTIVO
48,Brayan Torres,57.0,Barranquilla,Masculino,,11,300000.0,Activo
49,Melissa Castro,34.0,Medellín,Masculino,Estándar,5,1800000.0,Activo
50,Diego Herrera,63.0,Bogotá,Masculino,BASICA,9,4500000.0,Inactivo
51,Luisa Sánchez,21.0,Medellín,Femenino,Básica,1,150000.0,Inactivo
52,Juan Esteban Rojas,67.0,Cali,Femenino,Estándar,12,4500000.0,Inactivo
